Mfg,Model,Model_Year,MPG,KMPL,Weight,Cylinders,Horsepower,Acceleration,Displacement
citroen,citroen ds-21 pallas                ,70,NaN,NaN,3090,4,115,17.5,133
chevrolet,chevrolet chevelle concours (sw)    ,70,NaN,NaN,4142,8,165,11.5,350
ford,ford torino (sw)                    ,70,NaN,NaN,4034,8,153,11,351
plymouth,plymouth satellite (sw)             ,70,NaN,NaN,4166,8,175,10.5,383
amc,amc rebel sst (sw)                  ,70,NaN,NaN,3850,8,175,11,360
ford,ford mustang boss 302               ,70,NaN,NaN,3353,8,140,8,302
volkswagen,volkswagen super beetle 117         ,71,NaN,NaN,1978,4,48,20,97
saab,saab 900s                           ,81,NaN,NaN,2800,4,110,15.4,121
mazda,mazda glc                           ,80,46.6,19.805,2110,4,65,17.9,86
honda,honda civic 1500 gl                 ,80,44.6,18.955,1850,4,67,13.8,91
volkswagen,volkswagen rabbit c (diesel)        ,80,44.3,18.8275,2085,4,48,21.7,90
volkswagen,volkswagen pickup                   ,82,44,18.7,2130,4,52,24.6,97
volkswagen,volkswagen dasher (diesel)          ,80,43.4,18.445,2335,4,48,23.7,90
volkswagen,volkswagen rabbit custom diesel     ,78,43.1,18.3175,1985,4,48,21.5,90
volkswagen,volkswagen rabbit                   ,80,41.5,17.6375,2144,4,76,14.7,98
renault,renault lecar deluxe                ,80,40.9,17.3825,1835,4,NaN,17.3,85
datsun,datsun 210                          ,80,40.8,17.34,2110,4,65,19.2,85
datsun,datsun b210 gx                      ,78,39.4,16.745,2070,4,70,18.6,85
toyota,toyota starlet                      ,81,39.1,16.6175,1755,4,58,16.9,79
plymouth,plymouth champ                      ,81,39,16.575,1875,4,64,16.4,86
toyota,toyota corolla tercel               ,80,38.1,16.1925,1968,4,60,18.8,89
plymouth,plymouth horizon miser              ,82,38,16.15,2125,4,63,14.7,105
honda,honda civic                         ,82,38,16.15,1965,4,67,15,91
datsun,datsun 310 gx                       ,82,38,16.15,1995,4,67,16.2,91
oldsmobile,oldsmobile cutlass ciera (diesel)   ,82,38,16.15,3015,6,85,17,262
toyota,toyota tercel                       ,81,37.7,16.0225,2050,4,62,17.3,89
fiat,fiat strada custom                  ,79,37.3,15.8525,2130,4,69,14.7,91
datsun,datsun 310                          ,80,37.2,15.81,2019,4,65,16.4,86
datsun,datsun 510 hatchback                ,80,37,15.725,2434,4,92,15,119
datsun,datsun 210 mpg                      ,81,37,15.725,1975,4,65,19.4,85
mazda,mazda glc custom l                  ,82,37,15.725,2025,4,68,18.2,91
audi,audi 5000s (diesel)                 ,80,36.4,15.47,2950,5,67,19.9,121
ford,ford fiesta                         ,78,36.1,15.3425,1800,4,66,14.4,98
honda,honda civic cvcc                    ,78,36.1,15.3425,1800,4,60,16.4,91
renault,renault 5 gtl                       ,77,36,15.3,1825,4,58,18.6,79
volkswagen,volkswagen rabbit l                 ,82,36,15.3,1980,4,74,15.3,105
mercury,mercury lynx l                      ,82,36,15.3,2125,4,70,17.3,98
nissan,nissan stanza xe                    ,82,36,15.3,2160,4,88,14.5,120
honda,honda accord                        ,82,36,15.3,2205,4,75,14.5,107
dodge,dodge charger 2.2                   ,82,36,15.3,2370,4,84,13,135
dodge,dodge colt hatchback custom         ,79,35.7,15.1725,1915,4,80,14.4,98
honda,honda civic 1300                    ,81,35.1,14.9175,1760,4,60,16.1,81
datsun,datsun 1200                         ,71,35,14.875,1613,4,69,18,72
triumph,triumph tr7 coupe                   ,80,35,14.875,2500,4,88,15.1,122
plymouth,plymouth horizon 4                  ,81,34.7,14.7475,2215,4,63,14.9,105
plymouth,plymouth horizon tc3                ,79,34.5,14.6625,2150,4,70,14.9,105
renault,renault 18i                         ,81,34.5,14.6625,2320,4,NaN,15.8,100
ford,ford escort 4w                      ,81,34.4,14.62,2045,4,65,16.2,98
audi,audi 4000                           ,80,34.3,14.5775,2188,4,78,15.8,97
plymouth,plymouth horizon                    ,79,34.2,14.535,2200,4,70,13.2,105
mazda,mazda glc deluxe                    ,79,34.1,14.4925,1975,4,65,15.2,86
mazda,mazda glc 4                         ,81,34.1,14.4925,1985,4,68,16,91
chevrolet,chevrolet cavalier 2-door           ,82,34,14.45,2395,4,88,18,112
toyota,toyota corolla                      ,82,34,14.45,2245,4,70,16.9,108
subaru,subaru dl                           ,80,33.8,14.365,2145,4,67,18,97
honda,honda prelude                       ,81,33.7,14.3225,2210,4,75,14.4,107
datsun,datsun f-10 hatchback               ,77,33.5,14.2375,1945,4,70,16.8,85
dodge,dodge colt m/m                      ,77,33.5,14.2375,2075,4,83,15.9,98
pontiac,pontiac phoenix                     ,79,33.5,14.2375,2556,4,90,13.2,151
honda,honda civic cvcc                    ,75,33,14.025,1795,4,53,17.5,91
honda,honda civic                         ,76,33,14.025,1795,4,53,17.4,91
volkswagen,volkswagen jetta                    ,81,33,14.025,2190,4,74,14.2,105
datsun,datsun 200sx                        ,81,32.9,13.9825,2615,4,100,14.8,119
mazda,mazda glc deluxe                    ,78,32.8,13.94,1985,4,52,19.4,78
datsun,datsun 280-zx                       ,80,32.7,13.8975,2910,6,132,11.4,168
honda,honda accord                        ,80,32.4,13.77,2290,4,72,17,107
toyota,toyota corolla                      ,81,32.4,13.77,2350,4,75,16.8,108
subaru,subaru                              ,81,32.3,13.7275,2065,4,67,17.8,97
toyota,toyota corolla                      ,80,32.2,13.685,2265,4,75,15.2,108
chevrolet,chevrolet chevette                  ,80,32.1,13.6425,2120,4,70,15.5,98
toyota,toyota corolla 1200                 ,74,32,13.6,1836,4,65,21,71
datsun,datsun 710                          ,74,32,13.6,2003,4,61,19,83
datsun,datsun b-210                        ,76,32,13.6,1990,4,70,17,85
honda,honda civic (auto)                  ,82,32,13.6,1965,4,67,15.7,91
toyota,toyota celica gt                    ,82,32,13.6,2665,4,96,13.9,144
dodge,dodge rampage                       ,82,32,13.6,2295,4,84,11.6,135
volkswagen,volkswagen rabbit custom            ,79,31.9,13.5575,1925,4,71,14,89
datsun,datsun 210                          ,79,31.8,13.515,2020,4,65,19.2,85
mazda,mazda 626                           ,81,31.6,13.43,2635,4,74,18.3,120
honda,honda accord cvcc                   ,77,31.5,13.3875,2045,4,68,18.5,98
volkswagen,volkswagen scirocco                 ,78,31.5,13.3875,1990,4,71,14.9,89
mazda,mazda 626                           ,80,31.3,13.3025,2542,4,75,17.5,120
toyota,toyota corolla 1200                 ,71,31,13.175,1773,4,65,19,71
datsun,datsun b210                         ,74,31,13.175,1950,4,67,19,79
toyota,toyota corona                       ,74,31,13.175,1649,4,52,16.5,76
fiat,fiat x1.9                           ,74,31,13.175,2000,4,67,16,79
pontiac,pontiac j2000 se hatchback          ,82,31,13.175,2575,4,85,16.2,112
mazda,mazda glc custom                    ,82,31,13.175,1970,4,68,17.6,91
chevrolet,chevrolet s-10                      ,82,31,13.175,2720,4,82,19.4,119
dodge,dodge omni                          ,78,30.9,13.1325,2230,4,75,14.5,105
volvo,volvo diesel                        ,81,30.7,13.0475,3160,6,76,19.6,145
chevrolet,chevrolet chevette                  ,77,30.5,12.9625,2051,4,63,17,98
volkswagen,volkswagen dasher                   ,77,30.5,12.9625,2190,4,78,14.1,97
peugeot,peugeot 304                         ,71,30,12.75,2074,4,70,19.5,79
fiat,fiat 124b                           ,71,30,12.75,2065,4,76,14.5,88
buick,buick opel isuzu deluxe             ,77,30,12.75,2155,4,80,14.8,111
subaru,subaru dl                           ,77,30,12.75,1985,4,67,16.4,97
chevrolet,chevrolet chevette                  ,78,30,12.75,2155,4,68,16.5,98
mercedes-benz,mercedes-benz 240d                  ,80,30,12.75,3250,4,67,21.8,146
plymouth,plymouth reliant                    ,81,30,12.75,2385,4,84,12.9,135
ford,ford escort 2h                      ,81,29.9,12.7075,2380,4,65,20.7,98
toyota,toyota corona liftback              ,80,29.8,12.665,2711,4,90,15.5,134
volkswagen,volkswagen rabbit                   ,80,29.8,12.665,1845,4,62,15.3,89
volkswagen,volkswagen rabbit                   ,76,29.5,12.5375,1825,4,71,12.2,97
honda,honda accord lx                     ,78,29.5,12.5375,2135,4,68,16.6,98
fiat,fiat 128                            ,73,29,12.325,1867,4,49,19.5,68
audi,audi fox                            ,74,29,12.325,2219,4,83,16.5,98
toyota,toyota corolla                      ,75,29,12.325,2171,4,75,16,97
volkswagen,volkswagen rabbit                   ,75,29,12.325,1937,4,70,14,90
chevrolet,chevrolet chevette                  ,76,29,12.325,2035,4,52,22.2,85
volkswagen,volkswagen rabbit                   ,76,29,12.325,1937,4,70,14.2,90
volkswagen,volkswagen rabbit custom            ,77,29,12.325,1940,4,78,14.5,97
dodge,dodge aries se                      ,82,29,12.325,2525,4,84,16,135
chevrolet,chevrolet citation                  ,79,28.8,12.24,2595,6,115,11.3,173
buick,buick skylark limited               ,79,28.4,12.07,2670,4,90,16,151
peugeot,peugeot 505s turbo diesel           ,81,28.1,11.9425,3230,4,80,20.4,141
chevrolet,chevrolet vega 2300                 ,71,28,11.9,2264,4,90,15.5,140
opel,opel 1900                           ,71,28,11.9,2123,4,90,14,116
datsun,datsun 510 (sw)                     ,72,28,11.9,2288,4,92,17,97
dodge,dodge colt (sw)                     ,72,28,11.9,2164,4,80,15,98
dodge,dodge colt                          ,74,28,11.9,2125,4,75,14.5,90
fiat,fiat 131                            ,76,28,11.9,2464,4,86,15.5,107
toyota,toyota corolla                      ,76,28,11.9,2155,4,75,16.4,97
chevrolet,chevrolet citation                  ,80,28,11.9,2678,4,90,16.5,151
chevrolet,chevrolet cavalier                  ,82,28,11.9,2605,4,88,19.6,112
ford,ford ranger                         ,82,28,11.9,2625,4,79,18.6,120
dodge,dodge colt                          ,80,27.9,11.8575,2800,4,105,14.4,156
toyota,toyota corona                       ,78,27.5,11.6875,2560,4,95,14.2,134
amc,amc spirit dl                       ,79,27.4,11.645,2670,4,80,15,121
datsun,datsun 510                          ,78,27.2,11.56,2300,4,97,14.7,119
peugeot,peugeot 504                         ,79,27.2,11.56,3190,4,71,24.8,141
plymouth,plymouth reliant                    ,81,27.2,11.56,2490,4,84,15.7,135
datsun,datsun pl510                        ,70,27,11.475,2130,4,88,14.5,97
datsun,datsun pl510                        ,71,27,11.475,2130,4,88,14.5,97
volkswagen,volkswagen model 111                ,71,27,11.475,1834,4,60,19,97
toyota,toyota corolla 1600 (sw)            ,72,27,11.475,2100,4,88,16.5,97
renault,renault 12tl                        ,76,27,11.475,2202,4,83,15.3,101
chevrolet,chevrolet cavalier wagon            ,82,27,11.475,2640,4,88,18.6,112
pontiac,pontiac phoenix                     ,82,27,11.475,2735,4,90,18,151
chevrolet,chevrolet camaro                    ,82,27,11.475,2950,4,90,17.3,151
ford,ford mustang gl                     ,82,27,11.475,2790,4,86,15.6,140
oldsmobile,oldsmobile omega brougham           ,79,26.8,11.39,2700,6,115,12.9,173
buick,buick skylark                       ,81,26.6,11.305,2635,4,84,16.4,151
oldsmobile,oldsmobile cutlass ls               ,81,26.6,11.305,3725,8,105,19,350
ford,ford pinto                          ,76,26.5,11.2625,2565,4,72,13.6,140
ford,ford fairmont                       ,80,26.4,11.22,2870,4,88,18.1,140
volkswagen,volkswagen 1131 deluxe sedan        ,70,26,11.05,1835,4,46,20.5,97
bmw,bmw 2002                            ,70,26,11.05,2234,4,113,12.5,121
plymouth,plymouth cricket                    ,71,26,11.05,1955,4,70,20.5,91
renault,renault 12 (sw)                     ,72,26,11.05,2189,4,69,18,96
volkswagen,volkswagen super beetle             ,73,26,11.05,1950,4,46,21,97
fiat,fiat 124 sport coupe                ,73,26,11.05,2265,4,90,15.5,98
ford,ford pinto                          ,74,26,11.05,2451,4,80,16.5,122
volkswagen,volkswagen dasher                   ,74,26,11.05,1963,4,67,15.5,79
opel,opel manta                          ,74,26,11.05,2300,4,78,14.5,97
fiat,fiat 124 tc                         ,74,26,11.05,2246,4,75,14,116
subaru,subaru                              ,74,26,11.05,2391,4,93,15.5,108
dodge,dodge colt                          ,76,26,11.05,2255,4,79,17.7,98
toyota,toyota corolla liftback             ,77,26,11.05,2265,4,75,18.2,97
chrysler,chrysler lebaron medallion          ,82,26,11.05,2585,4,92,14.5,156
dodge,dodge aries wagon (sw)              ,81,25.8,10.965,2620,4,92,14.4,156
plymouth,plymouth arrow gs                   ,77,25.5,10.8375,2300,4,96,15.5,122
ford,ford mustang ii 2+2                 ,77,25.5,10.8375,2755,4,89,15.8,140
mercedes-benz,mercedes-benz 300d                  ,79,25.4,10.795,3530,5,77,20.1,183
toyota,toyota cressida                     ,81,25.4,10.795,2900,6,116,12.6,168
ford,ford fairmont (man)                 ,78,25.1,10.6675,2720,4,88,15.4,140
peugeot,peugeot 504                         ,70,25,10.625,2672,4,87,17.5,110
saab,saab 99e                            ,70,25,10.625,2375,4,95,17.5,104
toyota,toyota corona                       ,71,25,10.625,2228,4,95,14,113
ford,ford pinto                          ,71,25,10.625,2046,4,NaN,19,98
dodge,dodge colt hardtop                  ,72,25,10.625,2126,4,80,17,97.5
chevrolet,chevrolet vega                      ,74,25,10.625,2542,4,75,17,140
volkswagen,volkswagen dasher                   ,75,25,10.625,2223,4,71,16.5,90
saab,saab 99le                           ,75,25,10.625,2671,4,115,13.5,121
opel,opel 1900                           ,76,25,10.625,2220,4,81,16.9,116
ford,ford capri ii                       ,76,25,10.625,2572,4,92,14.9,140
buick,buick century limited               ,82,25,10.625,2945,6,110,16.4,181
chevrolet,chevrolet woody                     ,76,24.5,10.4125,2164,4,60,22.1,98
pontiac,pontiac sunbird coupe               ,77,24.5,10.4125,2740,4,88,16,151
amc,amc concord                         ,80,24.3,10.3275,3003,4,90,20.1,151
datsun,datsun 810 maxima                   ,81,24.2,10.285,2930,6,120,13.8,146
toyota,toyota corona mark ii               ,70,24,10.2,2372,4,95,15,113
audi,audi 100 ls                         ,70,24,10.2,2430,4,90,14.5,107
toyota,toyota corona hardtop               ,72,24,10.2,2278,4,95,15.5,113
opel,opel manta                          ,73,24,10.2,2158,4,75,15.5,116
saab,saab 99le                           ,73,24,10.2,2660,4,110,14,121
fiat,fiat 128                            ,74,24,10.2,2108,4,75,15.5,90
honda,honda civic                         ,74,24,10.2,2489,4,97,15,120
toyota,toyota corona                       ,75,24,10.2,2702,4,96,13.5,134
datsun,datsun 710                          ,75,24,10.2,2545,4,97,17,119
ford,ford maverick                       ,76,24,10.2,3012,6,81,17.6,200
ford,ford fairmont futura                ,82,24,10.2,2865,4,92,16.4,140
datsun,datsun 200-sx                       ,78,23.9,10.1575,2405,4,97,14.9,119
oldsmobile,oldsmobile cutlass salon brougham   ,79,23.9,10.1575,3420,8,90,22.2,260
oldsmobile,oldsmobile starfire sx              ,78,23.8,10.115,2855,4,85,17.6,151
mazda,mazda rx-7 gs                       ,80,23.7,10.0725,2420,3,100,12.5,70
ford,ford mustang cobra                  ,80,23.6,10.03,2905,4,NaN,14.3,140
chevrolet,chevrolet citation                  ,81,23.5,9.9875,2725,6,110,12.6,173
plymouth,plymouth sapporo                    ,78,23.2,9.86,2745,4,105,16.7,156
mercury,mercury capri 2000                  ,71,23,9.775,2220,4,86,14,122
volkswagen,volkswagen type 3                   ,72,23,9.775,2254,4,54,23.5,97
toyota,toyota corona mark ii (sw)          ,72,23,9.775,2506,4,97,14.5,120
plymouth,plymouth duster                     ,73,23,9.775,2904,6,95,16,198
ford,ford pinto                          ,75,23,9.775,2639,4,83,17,140
pontiac,pontiac astro                       ,75,23,9.775,2592,4,78,18.5,140
audi,audi 100ls                          ,75,23,9.775,2694,4,95,15,115
peugeot,peugeot 504                         ,75,23,9.775,2957,4,88,17,120
cadillac,cadillac eldorado                   ,79,23,9.775,3900,8,125,17.4,350
amc,amc concord dl                      ,82,23,9.775,3035,4,NaN,20.5,151
amc,amc hornet                          ,76,22.5,9.5625,3085,6,90,17.6,232
buick,buick century                       ,81,22.4,9.52,3415,6,110,15.8,231
ford,ford fairmont 4                     ,79,22.3,9.4775,2890,4,88,17.3,140
plymouth,plymouth duster                     ,70,22,9.35,2833,6,95,15.5,198
chevrolet,chevrolet vega (sw)                 ,71,22,9.35,2408,4,72,19,140
volkswagen,volkswagen 411 (sw)                 ,72,22,9.35,2511,4,76,18,121
ford,ford pinto (sw)                     ,72,22,9.35,2395,4,86,16,122
datsun,datsun 610                          ,73,22,9.35,2379,4,94,16.5,108
volvo,volvo 244dl                         ,75,22,9.35,2945,4,98,14.5,121
plymouth,plymouth valiant                    ,76,22,9.35,3233,6,100,15.4,225
chevrolet,chevrolet nova                      ,76,22,9.35,3353,6,105,14.5,250
datsun,datsun 810                          ,77,22,9.35,2815,6,97,14.5,146
ford,ford granada l                      ,82,22,9.35,2835,6,112,14.7,232
saab,saab 99gle                          ,78,21.6,9.18,2795,4,115,15.7,121
bmw,bmw 320i                            ,77,21.5,9.1375,2600,4,110,12.8,121
mazda,mazda rx-4                          ,77,21.5,9.1375,2720,3,110,13.5,80
pontiac,pontiac lemans v6                   ,79,21.5,9.1375,3245,6,115,15.4,231
toyota,toyota celica gt liftback           ,78,21.1,8.9675,2515,4,95,14.8,134
ford,ford maverick                       ,70,21,8.925,2587,6,85,16,200
amc,amc gremlin                         ,70,21,8.925,2648,6,90,15,199
ford,ford pinto runabout                 ,72,21,8.925,2226,4,86,16.5,122
peugeot,peugeot 504 (sw)                    ,72,21,8.925,2979,4,87,19.5,120
chevrolet,chevrolet vega                      ,73,21,8.925,2401,4,72,19.5,140
mercury,mercury capri v6                    ,73,21,8.925,2472,6,107,14,155
ford,ford maverick                       ,74,21,8.925,2875,6,NaN,17,200
buick,buick skyhawk                       ,75,21,8.925,3039,6,110,15,231
mercury,mercury zephyr                      ,78,20.8,8.84,3070,6,85,16.7,200
buick,buick century special               ,78,20.6,8.755,3380,6,105,15.8,231
dodge,dodge aspen 6                       ,79,20.6,8.755,3360,6,110,16.6,225
buick,buick skylark                       ,77,20.5,8.7125,3425,6,105,16.9,231
chevrolet,chevrolet malibu                    ,78,20.5,8.7125,3155,6,95,18.2,200
plymouth,plymouth volare                     ,78,20.5,8.7125,3430,6,100,17.2,225
audi,audi 5000                           ,78,20.3,8.6275,2830,5,103,15.9,131
mercury,mercury monarch ghia                ,78,20.2,8.585,3570,8,139,12.8,302
ford,ford fairmont (auto)                ,78,20.2,8.585,2965,6,85,15.8,200
amc,amc concord dl 6                    ,79,20.2,8.585,3265,6,90,18.2,232
ford,ford granada gl                     ,81,20.2,8.585,3060,6,88,17.1,200
chevrolet,chevrolet vega                      ,72,20,8.5,2408,4,90,19.5,140
toyota,toyota carina                       ,73,20,8.5,2279,4,88,19,97
audi,audi 100ls                          ,73,20,8.5,2582,4,91,14,114
toyota,toyota mark ii                      ,73,20,8.5,2807,6,122,13.5,156
plymouth,plymouth duster                     ,74,20,8.5,3102,6,95,16.5,198
chevrolet,chevrolet monza 2+2                 ,75,20,8.5,3221,8,110,13.5,262
amc,amc gremlin                         ,75,20,8.5,2914,6,100,16,232
dodge,dodge aspen se                      ,76,20,8.5,3651,6,100,17.7,225
